1  	 0.11073
2  	 0.121579
3  	 0.113185
4  	 0.0950768
5  	 0.0778667
6  	 0.0643611
7  	 0.0547148
8  	 0.0472948
9  	 0.0414012
10  	 0.0363978
11  	 0.0322068
12  	 0.0284649
13  	 0.0251385
14  	 0.0221021
15  	 0.0194868
16  	 0.0168985
17  	 0.0147596
18  	 0.0126531
19  	 0.0109029
20  	 0.00924033
21  	 0.00795542
22  	 0.00669323
23  	 0.00556142
24  	 0.00468651
25  	 0.0039111
26  	 0.0032096
27  	 0.00264024
28  	 0.0021606
29  	 0.00176763
30  	 0.00141595
31  	 0.00116092
32  	 0.000912809
33  	 0.000733784
34  	 0.00059935
35  	 0.000465465
36  	 0.000372548
37  	 0.000287758
38  	 0.000229657
39  	 0.000183638
40  	 0.000128393
41  	 0.000101704
42  	 8.81946e-05
43  	 6.4471e-05
44  	 5.28289e-05
45  	 4.28342e-05
46  	 3.08626e-05
47  	 2.22958e-05
48  	 1.47174e-05
49  	 1.26306e-05
50  	 9.4455e-06
51  	 7.90786e-06
52  	 5.27191e-06
53  	 4.94241e-06
54  	 3.07528e-06
55  	 2.41629e-06
